Local time,Open,High,Low,Close,Volume
31.12.2019 01:00:00.000 GMT+0100,156.962,157.753,156.462,157.693,70119750.9766
02.01.2020 01:00:00.000 GMT+0100,158.822,160.682,158.592,160.682,55922000.885
03.01.2020 01:00:00.000 GMT+0100,158.252,159.953,158.252,158.763,92207252.5024
06.01.2020 01:00:00.000 GMT+0100,157.092,159.112,156.532,159.002,88194000.2441
07.01.2020 01:00:00.000 GMT+0100,159.803,159.803,157.342,157.632,86337753.2959
08.01.2020 01:00:00.000 GMT+0100,159.022,160.783,157.952,160.102,93614997.8638
09.01.2020 01:00:00.000 GMT+0100,162.602,162.603,161.042,162.063,90649246.2158
10.01.2020 01:00:00.000 GMT+0100,163.182,163.223,161.213,161.313,94658752.4414
13.01.2020 01:00:00.000 GMT+0100,161.802,163.313,161.273,163.282,71111503.6011
14.01.2020 01:00:00.000 GMT+0100,163.323,163.603,161.732,162.182,91665748.5962
15.01.2020 01:00:00.000 GMT+0100,162.663,163.942,162.593,163.252,84940498.3521
16.01.2020 01:00:00.000 GMT+0100,165.053,166.242,164.052,166.223,66319999.6948
17.01.2020 01:00:00.000 GMT+0100,167.843,167.843,165.442,167.092,55720249.176
21.01.2020 01:00:00.000 GMT+0100,166.783,168.202,166.442,166.542,70124252.3193
22.01.2020 01:00:00.000 GMT+0100,167.413,167.503,165.693,165.703,66708000.1831
23.01.2020 01:00:00.000 GMT+0100,166.333,166.803,165.282,166.713,69920249.939
24.01.2020 01:00:00.000 GMT+0100,167.672,167.673,164.462,165.032,111291252.1362
27.01.2020 01:00:00.000 GMT+0100,161.293,163.392,160.362,162.253,111342750.5493
28.01.2020 01:00:00.000 GMT+0100,163.900,165.763,163.102,165.492,71628997.8027
29.01.2020 01:00:00.000 GMT+0100,167.933,168.762,165.712,168.172,79437751.77
30.01.2020 01:00:00.000 GMT+0100,174.090,174.402,170.842,172.742,114357002.2583
31.01.2020 01:00:00.000 GMT+0100,172.222,172.432,169.622,170.283,139894256.5918
03.02.2020 01:00:00.000 GMT+0100,170.433,174.503,170.422,174.393,101643501.2817
04.02.2020 01:00:00.000 GMT+0100,177.202,180.643,176.332,180.162,77957000.7324
05.02.2020 01:00:00.000 GMT+0100,184.092,184.802,178.422,179.922,95829750.061
06.02.2020 01:00:00.000 GMT+0100,181.582,183.823,180.072,183.642,80949996.9482
07.02.2020 01:00:00.000 GMT+0100,182.872,185.642,182.512,183.972,83409500.1221
10.02.2020 01:00:00.000 GMT+0100,183.992,188.843,183.262,188.713,78069000.2441
11.02.2020 01:00:00.000 GMT+0100,190.705,190.705,183.512,184.442,108762001.0376
12.02.2020 01:00:00.000 GMT+0100,185.602,186.123,181.882,184.692,85031250
13.02.2020 01:00:00.000 GMT+0100,183.242,186.233,182.892,183.793,95926498.4131
14.02.2020 01:00:00.000 GMT+0100,183.503,185.413,182.672,185.332,71596252.4414
18.02.2020 01:00:00.000 GMT+0100,185.872,187.703,185.542,187.253,69935752.8687
19.02.2020 01:00:00.000 GMT+0100,188.173,188.183,186.483,187.282,48351749.4202
20.02.2020 01:00:00.000 GMT+0100,186.952,187.283,181.132,184.373,106256752.0142
21.02.2020 01:00:00.000 GMT+0100,183.472,183.563,177.262,178.532,115058998.1079
24.02.2020 01:00:00.000 GMT+0100,168.522,174.562,164.402,170.903,187930496.2158
25.02.2020 01:00:00.000 GMT+0100,174.943,174.943,167.662,168.233,230831497.1924
26.02.2020 01:00:00.000 GMT+0100,170.002,173.283,168.232,170.112,249740753.1738
27.02.2020 01:00:00.000 GMT+0100,163.503,167.042,158.033,158.053,285311004.6387
28.02.2020 01:00:00.000 GMT+0100,152.822,163.783,152.072,161.893,188446746.8262
02.03.2020 01:00:00.000 GMT+0100,164.912,172.852,162.342,172.792,163153503.418
03.03.2020 01:00:00.000 GMT+0100,173.802,175.023,162.273,164.363,118718498.23
04.03.2020 01:00:00.000 GMT+0100,168.598,170.703,165.642,170.482,171226745.6055
05.03.2020 01:00:00.000 GMT+0100,166.103,170.892,165.702,166.413,201492996.2158
06.03.2020 01:00:00.000 GMT+0100,162.512,163.193,156.022,161.502,199422500.6104
09.03.2020 01:00:00.000 GMT+0100,151.002,157.763,150.042,151.063,184065505.9814
10.03.2020 01:00:00.000 GMT+0100,158.163,161.073,152.612,160.992,225268249.5117
11.03.2020 01:00:00.000 GMT+0100,157.293,157.753,151.172,153.622,197007003.7842
12.03.2020 01:00:00.000 GMT+0100,146.002,153.483,138.612,138.912,163936248.7793
13.03.2020 01:00:00.000 GMT+0100,147.612,159.722,140.742,159.552,175368255.6152
16.03.2020 01:00:00.000 GMT+0100,140.633,149.433,135.012,135.483,145201995.8496
17.03.2020 01:00:00.000 GMT+0100,140.442,147.503,135.083,146.472,140324752.8076
18.03.2020 01:00:00.000 GMT+0100,137.723,146.002,135.082,143.192,147432754.5166
19.03.2020 01:00:00.000 GMT+0100,143.003,150.162,139.052,143.182,192311996.46
20.03.2020 01:00:00.000 GMT+0100,145.983,147.083,135.922,137.392,228579254.1504
23.03.2020 01:00:00.000 GMT+0100,137.102,140.602,132.542,136.023,208931503.2959
24.03.2020 01:00:00.000 GMT+0100,144.232,149.613,141.293,148.043,259682495.1172
25.03.2020 01:00:00.000 GMT+0100,148.913,154.343,144.502,146.922,266764739.9902
26.03.2020 01:00:00.000 GMT+0100,148.522,156.732,148.522,155.872,184568496.7041
27.03.2020 01:00:00.000 GMT+0100,152.102,154.903,149.222,149.892,181924743.6523
30.03.2020 02:00:00.000 GMT+0200,152.982,160.643,150.892,160.252,179640502.9297
31.03.2020 02:00:00.000 GMT+0200,159.852,164.802,156.593,158.002,189091247.5586
01.04.2020 02:00:00.000 GMT+0200,153.092,157.812,150.822,152.032,180242492.6758
02.04.2020 02:00:00.000 GMT+0200,152.002,155.492,150.502,155.353,136781005.8594
03.04.2020 02:00:00.000 GMT+0200,155.352,157.403,152.202,153.902,119519996.6431
06.04.2020 02:00:00.000 GMT+0200,160.312,166.503,157.603,165.202,179513000.4883
07.04.2020 02:00:00.000 GMT+0200,169.922,170.003,163.292,163.612,183080001.8311
08.04.2020 02:00:00.000 GMT+0200,165.902,166.703,163.722,165.092,207188751.2207
09.04.2020 02:00:00.000 GMT+0200,167.222,167.362,163.352,165.212,200113494.873
13.04.2020 02:00:00.000 GMT+0200,164.933,165.572,162.322,165.502,140738250.7324
14.04.2020 02:00:00.000 GMT+0200,169.482,173.753,168.023,173.723,109819000.2441
15.04.2020 02:00:00.000 GMT+0200,171.102,173.602,169.262,172.142,148365493.7744
16.04.2020 02:00:00.000 GMT+0200,174.502,177.283,172.932,176.873,164567504.8828
17.04.2020 02:00:00.000 GMT+0200,179.643,180.003,175.902,178.672,165168746.9482
20.04.2020 02:00:00.000 GMT+0200,176.883,178.773,175.012,175.063,131281753.54
21.04.2020 02:00:00.000 GMT+0200,173.802,173.802,166.143,167.792,159445755.0049
22.04.2020 02:00:00.000 GMT+0200,171.588,174.022,170.852,173.503,173694503.7842
23.04.2020 02:00:00.000 GMT+0200,174.702,175.113,170.952,171.403,167091995.2393
24.04.2020 02:00:00.000 GMT+0200,172.173,174.482,170.722,174.462,171852005.0049
27.04.2020 02:00:00.000 GMT+0200,176.852,176.892,173.392,174.122,153919754.0283
28.04.2020 02:00:00.000 GMT+0200,175.702,175.703,169.422,169.862,181324752.8076
29.04.2020 02:00:00.000 GMT+0200,173.243,177.772,171.902,177.332,157970245.3613
30.04.2020 02:00:00.000 GMT+0200,180.003,180.503,176.272,179.363,94044746.3989
01.05.2020 02:00:00.000 GMT+0200,175.912,178.662,174.042,174.672,132160995.4834
04.05.2020 02:00:00.000 GMT+0200,174.302,179.022,173.842,178.853,173279495.2393
05.05.2020 02:00:00.000 GMT+0200,180.773,183.653,179.922,180.862,143152755.7373
06.05.2020 02:00:00.000 GMT+0200,182.152,184.203,181.682,182.572,140727996.8262
07.05.2020 02:00:00.000 GMT+0200,184.272,184.753,182.603,183.692,132524993.8965
08.05.2020 02:00:00.000 GMT+0200,184.982,184.983,183.362,184.792,111430747.9858
11.05.2020 02:00:00.000 GMT+0200,183.063,187.513,182.882,186.733,111005752.5635
12.05.2020 02:00:00.000 GMT+0200,186.973,187.172,182.382,182.442,147616500.8545
13.05.2020 02:00:00.000 GMT+0200,182.520,184.062,176.562,179.862,235143005.3711
14.05.2020 02:00:00.000 GMT+0200,177.703,180.722,175.692,180.623,230362503.0518
