Local time,Open,High,Low,Close,Volume
03.01.2023 01:00:00.000 GMT+0100,243.083,245.794,237.423,239.733,91132799.14860001
04.01.2023 01:00:00.000 GMT+0100,232.634,232.804,226.013,229.063,119914799.6903
05.01.2023 01:00:00.000 GMT+0100,227.173,227.654,221.784,222.414,88418399.8107
06.01.2023 01:00:00.000 GMT+0100,223.243,225.774,219.394,224.984,135403200.1495
09.01.2023 01:00:00.000 GMT+0100,226.934,231.254,226.433,227.193,76877999.3057
10.01.2023 01:00:00.000 GMT+0100,227.903,231.353,227.354,228.914,147728400.2305
11.01.2023 01:00:00.000 GMT+0100,231.654,235.914,231.184,235.693,60736800.1938
12.01.2023 01:00:00.000 GMT+0100,235.643,239.924,233.573,238.713,84869998.93169999
13.01.2023 01:00:00.000 GMT+0100,237.133,239.394,234.984,239.214,64576800.34640001
17.01.2023 01:00:00.000 GMT+0100,238.063,240.914,237.113,240.504,145112401.9622
18.01.2023 01:00:00.000 GMT+0100,241.773,242.424,235.543,235.903,139238400.4592
19.01.2023 01:00:00.000 GMT+0100,234.904,235.273,230.703,231.994,151227598.19030002
20.01.2023 01:00:00.000 GMT+0100,234.994,240.743,234.684,240.263,141336000.4425
23.01.2023 01:00:00.000 GMT+0100,240.984,245.193,239.704,242.654,148663200.3785
24.01.2023 01:00:00.000 GMT+0100,243.494,243.954,240.474,242.194,80191200.2563
25.01.2023 01:00:00.000 GMT+0100,234.053,243.264,230.974,240.824,108887999.5346
26.01.2023 01:00:00.000 GMT+0100,244.014,248.303,242.043,248.094,142552798.2711
27.01.2023 01:00:00.000 GMT+0100,249.004,249.834,246.853,248.313,142617599.4873
30.01.2023 01:00:00.000 GMT+0100,244.324,245.653,242.213,242.963,131493601.799
31.01.2023 01:00:00.000 GMT+0100,243.624,247.973,242.974,247.873,105099599.8382
01.02.2023 01:00:00.000 GMT+0100,247.944,255.204,245.553,252.814,174591597.5571
02.02.2023 01:00:00.000 GMT+0100,259.243,264.703,257.283,264.673,206601598.73969996
03.02.2023 01:00:00.000 GMT+0100,259.633,264.254,257.113,258.474,197802000.0457
06.02.2023 01:00:00.000 GMT+0100,256.844,258.304,254.803,257.093,115892398.8342
07.02.2023 01:00:00.000 GMT+0100,260.554,268.794,260.113,267.693,147520796.7759
08.02.2023 01:00:00.000 GMT+0100,273.253,276.804,266.253,266.984,143085599.8993
09.02.2023 01:00:00.000 GMT+0100,273.943,274.024,262.823,263.863,133587599.75429998
10.02.2023 01:00:00.000 GMT+0100,261.933,264.104,260.683,263.233,125260799.40799999
13.02.2023 01:00:00.000 GMT+0100,267.544,274.614,267.224,271.433,107548799.5148
14.02.2023 01:00:00.000 GMT+0100,272.714,274.984,269.314,272.314,139288798.3322
15.02.2023 01:00:00.000 GMT+0100,268.793,270.784,266.213,269.433,159307201.38549998
16.02.2023 01:00:00.000 GMT+0100,264.073,266.774,261.913,262.364,190789199.8291
17.02.2023 01:00:00.000 GMT+0100,259.533,260.113,256.014,258.143,175113597.87
21.02.2023 01:00:00.000 GMT+0100,254.494,255.504,251.643,252.854,113208000.1831
22.02.2023 01:00:00.000 GMT+0100,254.083,254.383,250.373,251.854,160092001.915
23.02.2023 01:00:00.000 GMT+0100,255.573,256.903,250.493,254.834,197206802.36819997
24.02.2023 01:00:00.000 GMT+0100,249.823,250.914,248.124,249.414,173425203.3235
27.02.2023 01:00:00.000 GMT+0100,252.763,252.804,249.424,250.193,135078001.9761
28.02.2023 01:00:00.000 GMT+0100,248.944,251.504,248.803,249.564,143111998.5581
01.03.2023 01:00:00.000 GMT+0100,250.993,250.993,245.803,246.343,158718000.41199997
02.03.2023 01:00:00.000 GMT+0100,246.523,251.414,245.664,251.114,149481601.7151
03.03.2023 01:00:00.000 GMT+0100,252.324,255.633,251.444,255.414,126253199.57720001
06.03.2023 01:00:00.000 GMT+0100,256.503,260.123,255.994,256.933,142759201.04979998
07.03.2023 01:00:00.000 GMT+0100,256.244,257.724,253.403,254.294,170975999.8321
08.03.2023 01:00:00.000 GMT+0100,254.133,254.604,250.834,253.843,160057199.47820002
09.03.2023 01:00:00.000 GMT+0100,255.994,259.574,251.584,252.323,139128002.1667
10.03.2023 01:00:00.000 GMT+0100,251.113,252.824,247.623,248.813,220125598.9075
13.03.2023 01:00:00.000 GMT+0100,247.513,257.924,245.773,254.104,249574800.4913
14.03.2023 01:00:00.000 GMT+0100,257.003,261.123,255.903,260.653,194134799.95729998
15.03.2023 01:00:00.000 GMT+0100,259.764,266.493,259.283,265.144,213024002.07519996
16.03.2023 01:00:00.000 GMT+0100,265.054,276.554,263.303,276.113,188199602.1271
17.03.2023 01:00:00.000 GMT+0100,278.254,283.344,276.334,279.503,199581600.1892
20.03.2023 01:00:00.000 GMT+0100,277.233,277.504,269.883,272.183,158121601.10480002
21.03.2023 01:00:00.000 GMT+0100,274.794,274.953,269.543,273.584,134295599.9375
22.03.2023 01:00:00.000 GMT+0100,273.634,281.054,272.263,272.274,178044000.6257
23.03.2023 01:00:00.000 GMT+0100,277.973,281.054,275.243,277.784,183658801.0787
24.03.2023 01:00:00.000 GMT+0100,277.664,280.734,275.314,280.584,190459200.8591
27.03.2023 02:00:00.000 GMT+0200,280.623,281.494,275.534,276.454,124717200.2793
28.03.2023 02:00:00.000 GMT+0200,275.854,276.194,272.063,275.333,104621998.78700002
29.03.2023 02:00:00.000 GMT+0200,279.254,281.153,278.463,280.554,99214799.88099998
30.03.2023 02:00:00.000 GMT+0200,284.193,284.484,281.514,284.203,100651201.24810001
31.03.2023 02:00:00.000 GMT+0200,283.724,288.844,283.104,288.503,102994801.5213
03.04.2023 02:00:00.000 GMT+0200,286.713,288.294,283.993,287.243,113651999.47359999
04.04.2023 02:00:00.000 GMT+0200,286.983,290.474,285.713,287.523,143228401.1841
05.04.2023 02:00:00.000 GMT+0200,285.933,287.183,282.963,284.423,134414399.1471
06.04.2023 02:00:00.000 GMT+0200,282.654,292.104,282.063,291.503,110758802.4139
10.04.2023 02:00:00.000 GMT+0200,289.164,289.634,284.853,289.394,126627598.7626
11.04.2023 02:00:00.000 GMT+0200,285.943,285.943,281.673,282.994,105537599.56349999
12.04.2023 02:00:00.000 GMT+0200,284.773,287.034,281.973,283.763,151921199.7986
13.04.2023 02:00:00.000 GMT+0200,283.563,290.004,283.234,289.833,109915198.32609999
14.04.2023 02:00:00.000 GMT+0200,287.043,288.523,283.713,286.323,141739202.4993
17.04.2023 02:00:00.000 GMT+0200,290.074,291.614,286.334,288.804,102957599.63989998
18.04.2023 02:00:00.000 GMT+0200,291.574,291.754,287.044,288.383,110023199.08150001
19.04.2023 02:00:00.000 GMT+0200,285.913,289.064,284.583,288.454,103771200.1801
20.04.2023 02:00:00.000 GMT+0200,285.263,289.044,285.103,286.294,120139199.2569
21.04.2023 02:00:00.000 GMT+0200,285.093,286.294,283.093,285.903,131185197.8302
24.04.2023 02:00:00.000 GMT+0200,282.464,284.973,278.734,281.933,108906000.1373
25.04.2023 02:00:00.000 GMT+0200,279.513,281.643,275.703,276.334,104755198.47870001
26.04.2023 02:00:00.000 GMT+0200,296.763,299.574,292.794,295.423,126594000.81629999
27.04.2023 02:00:00.000 GMT+0200,296.153,305.233,295.293,304.793,114203997.612
28.04.2023 02:00:00.000 GMT+0200,303.904,308.944,303.353,307.454,132544799.80469999
01.05.2023 02:00:00.000 GMT+0200,306.753,308.644,305.164,305.683,114484799.385
02.05.2023 02:00:00.000 GMT+0200,307.973,309.164,303.943,305.604,115768800.73550001
03.05.2023 02:00:00.000 GMT+0200,306.963,308.624,304.143,304.423,133968001.3657
04.05.2023 02:00:00.000 GMT+0200,306.403,307.783,303.424,305.724,153293998.7183
05.05.2023 02:00:00.000 GMT+0200,305.443,311.973,304.323,310.823,100635600.0899
08.05.2023 02:00:00.000 GMT+0200,310.133,310.314,306.114,308.653,101662799.83530001
09.05.2023 02:00:00.000 GMT+0200,307.864,310.054,306.364,307.083,83804398.5368
10.05.2023 02:00:00.000 GMT+0200,309.004,313.004,307.724,312.343,127697999.00070001
11.05.2023 02:00:00.000 GMT+0200,310.214,311.154,306.313,310.093,112101601.6006
12.05.2023 02:00:00.000 GMT+0200,310.334,310.494,306.624,309.033,97844399.4522
15.05.2023 02:00:00.000 GMT+0200,309.113,309.904,307.614,309.543,76055999.7557
16.05.2023 02:00:00.000 GMT+0200,310.003,313.724,309.993,311.784,89851199.14999999
