Local time,Open,High,Low,Close,Volume
31.12.2018 01:00:00.000 GMT+0100,101.288,102.388,100.478,101.557,286902435.3027
02.01.2019 01:00:00.000 GMT+0100,99.497,101.728,98.927,101.107,348775207.5195
03.01.2019 01:00:00.000 GMT+0100,99.788,100.117,97.197,97.407,368010620.1172
04.01.2019 01:00:00.000 GMT+0100,99.667,102.490,98.907,101.908,327119445.8008
07.01.2019 01:00:00.000 GMT+0100,101.677,103.248,100.977,102.038,283478088.3789
08.01.2019 01:00:00.000 GMT+0100,103.017,103.958,101.697,102.828,263722656.25
09.01.2019 01:00:00.000 GMT+0100,103.577,104.848,103.228,104.278,236901077.2705
10.01.2019 01:00:00.000 GMT+0100,103.237,103.718,102.367,103.617,224400238.0371
11.01.2019 01:00:00.000 GMT+0100,102.978,103.338,101.618,102.727,213092819.2139
14.01.2019 01:00:00.000 GMT+0100,101.827,102.418,101.247,101.998,182999511.7188
15.01.2019 01:00:00.000 GMT+0100,102.487,105.018,101.887,104.948,188900070.1904
16.01.2019 01:00:00.000 GMT+0100,105.187,106.237,104.937,105.358,170542068.4814
17.01.2019 01:00:00.000 GMT+0100,104.988,106.608,104.778,106.128,185590698.2422
18.01.2019 01:00:00.000 GMT+0100,107.388,107.878,105.907,107.658,195724746.7041
22.01.2019 01:00:00.000 GMT+0100,106.897,107.067,104.877,105.768,200479400.6348
23.01.2019 01:00:00.000 GMT+0100,106.038,107.018,105.327,106.708,214202804.5654
24.01.2019 01:00:00.000 GMT+0100,106.837,106.937,105.317,106.158,194341522.2168
25.01.2019 01:00:00.000 GMT+0100,107.167,107.848,106.577,107.088,144438812.2559
28.01.2019 01:00:00.000 GMT+0100,105.937,105.937,104.647,105.077,184403213.501
29.01.2019 01:00:00.000 GMT+0100,104.788,104.948,102.147,102.897,167340942.3828
30.01.2019 01:00:00.000 GMT+0100,104.627,106.338,104.308,106.287,233884094.2383
31.01.2019 01:00:00.000 GMT+0100,103.758,105.198,103.167,104.367,225957946.7773
01.02.2019 01:00:00.000 GMT+0100,103.977,104.078,102.337,102.727,200450225.8301
04.02.2019 01:00:00.000 GMT+0100,102.988,105.767,102.987,105.767,148520614.624
05.02.2019 01:00:00.000 GMT+0100,105.988,107.217,105.947,107.198,163181701.6602
06.02.2019 01:00:00.000 GMT+0100,106.938,106.967,105.517,106.057,153950881.958
07.02.2019 01:00:00.000 GMT+0100,105.127,105.568,104.278,105.287,227679397.583
08.02.2019 01:00:00.000 GMT+0100,104.268,105.757,104.268,105.738,182929229.7363
11.02.2019 01:00:00.000 GMT+0100,106.048,106.568,104.947,105.228,155076629.6387
12.02.2019 01:00:00.000 GMT+0100,106.047,107.108,105.458,106.858,138386749.2676
13.02.2019 01:00:00.000 GMT+0100,107.338,107.757,106.698,106.758,151030303.9551
14.02.2019 01:00:00.000 GMT+0100,106.257,107.278,105.647,106.858,175562088.0127
15.02.2019 01:00:00.000 GMT+0100,107.797,108.268,107.347,108.168,160434570.3125
19.02.2019 01:00:00.000 GMT+0100,107.768,108.638,107.768,108.207,129161361.6943
20.02.2019 01:00:00.000 GMT+0100,107.848,107.928,106.278,107.148,178117523.1934
21.02.2019 01:00:00.000 GMT+0100,106.878,109.458,106.847,109.428,176416259.7656
22.02.2019 01:00:00.000 GMT+0100,109.787,111.178,109.787,110.947,163531784.0576
25.02.2019 01:00:00.000 GMT+0100,111.647,112.158,111.257,111.508,184412841.7969
26.02.2019 01:00:00.000 GMT+0100,111.157,113.208,111.157,112.348,192783493.042
27.02.2019 01:00:00.000 GMT+0100,111.637,112.338,110.867,112.140,202210632.3242
28.02.2019 01:00:00.000 GMT+0100,112.027,112.867,111.718,112.048,196297531.1279
01.03.2019 01:00:00.000 GMT+0100,112.798,113.001,111.648,112.517,168468856.8115
04.03.2019 01:00:00.000 GMT+0100,112.987,113.188,110.787,112.297,238396224.9756
05.03.2019 01:00:00.000 GMT+0100,112.178,112.368,111.218,111.648,173716842.6514
06.03.2019 01:00:00.000 GMT+0100,111.858,112.638,111.427,111.748,219463073.7305
07.03.2019 01:00:00.000 GMT+0100,111.207,111.528,109.847,110.348,229280456.543
08.03.2019 01:00:00.000 GMT+0100,108.988,110.688,108.797,110.507,231054946.8994
11.03.2019 01:00:00.000 GMT+0100,112.707,112.928,112.457,112.798,84062919.6167
12.03.2019 01:00:00.000 GMT+0100,112.978,113.968,112.628,113.588,195589981.0791
13.03.2019 01:00:00.000 GMT+0100,113.967,114.978,113.758,114.485,183392517.0898
14.03.2019 01:00:00.000 GMT+0100,114.447,115.178,114.317,114.568,175620147.7051
15.03.2019 01:00:00.000 GMT+0100,115.247,117.218,114.667,115.798,175724365.2344
18.03.2019 01:00:00.000 GMT+0100,116.037,117.578,116.037,117.578,170953094.4824
19.03.2019 01:00:00.000 GMT+0100,117.987,118.428,116.987,117.678,197475677.4902
20.03.2019 01:00:00.000 GMT+0100,117.287,118.728,116.688,117.508,271063873.291
21.03.2019 01:00:00.000 GMT+0100,117.248,120.368,117.037,120.368,236603729.248
22.03.2019 01:00:00.000 GMT+0100,119.378,119.558,117.048,117.048,325081115.7227
25.03.2019 01:00:00.000 GMT+0100,116.548,117.997,116.317,117.657,310442596.4355
26.03.2019 01:00:00.000 GMT+0100,118.327,118.688,116.837,117.877,255161834.7168
27.03.2019 01:00:00.000 GMT+0100,117.917,118.198,115.507,116.757,285881622.3145
28.03.2019 01:00:00.000 GMT+0100,117.338,117.548,116.107,116.908,239037475.5859
29.03.2019 01:00:00.000 GMT+0100,118.148,118.241,116.948,117.890,216512374.8779
01.04.2019 02:00:00.000 GMT+0200,118.708,119.088,118.087,118.888,200758407.5928
02.04.2019 02:00:00.000 GMT+0200,119.047,119.458,118.498,119.147,194449035.6445
03.04.2019 02:00:00.000 GMT+0200,119.808,120.408,119.127,119.942,206829513.5498
04.04.2019 02:00:00.000 GMT+0200,119.847,120.208,118.357,119.318,231877578.7354
05.04.2019 02:00:00.000 GMT+0200,119.437,120.211,119.347,119.867,195835952.7588
08.04.2019 02:00:00.000 GMT+0200,119.798,119.988,118.617,119.898,184129074.0967
09.04.2019 02:00:00.000 GMT+0200,118.698,119.528,118.697,119.318,189738815.3076
10.04.2019 02:00:00.000 GMT+0200,119.637,120.328,119.527,120.207,191158843.9941
11.04.2019 02:00:00.000 GMT+0200,120.538,120.832,119.907,120.288,176888854.9805
12.04.2019 02:00:00.000 GMT+0200,120.698,120.958,120.357,120.937,175495910.6445
15.04.2019 02:00:00.000 GMT+0200,120.887,121.567,120.558,121.038,169013916.0156
16.04.2019 02:00:00.000 GMT+0200,121.508,121.620,120.087,120.768,168773071.2891
17.04.2019 02:00:00.000 GMT+0200,121.248,121.818,120.527,121.737,211581985.4736
18.04.2019 02:00:00.000 GMT+0200,122.158,123.478,121.287,123.347,188127410.8887
22.04.2019 02:00:00.000 GMT+0200,122.768,123.978,122.727,123.728,154725723.2666
23.04.2019 02:00:00.000 GMT+0200,124.057,125.478,123.817,125.428,179222290.0391
24.04.2019 02:00:00.000 GMT+0200,125.757,125.818,124.512,125.058,182318130.4932
25.04.2019 02:00:00.000 GMT+0200,130.128,131.348,128.817,129.073,190749176.0254
26.04.2019 02:00:00.000 GMT+0200,129.738,130.488,129.007,129.847,165303787.2314
29.04.2019 02:00:00.000 GMT+0200,129.788,130.148,129.337,129.718,119711349.4873
30.04.2019 02:00:00.000 GMT+0200,129.638,130.678,129.377,130.547,138054153.4424
01.05.2019 02:00:00.000 GMT+0200,130.637,130.637,127.717,127.847,158474060.0586
02.05.2019 02:00:00.000 GMT+0200,127.957,127.968,125.498,126.187,195635437.0117
03.05.2019 02:00:00.000 GMT+0200,127.328,129.389,127.197,128.857,165930236.8164
06.05.2019 02:00:00.000 GMT+0200,126.307,128.538,126.088,128.138,192487014.7705
07.05.2019 02:00:00.000 GMT+0200,126.367,127.147,124.201,125.558,297197052.002
08.05.2019 02:00:00.000 GMT+0200,125.447,126.348,124.708,125.457,227806442.2607
09.05.2019 02:00:00.000 GMT+0200,124.215,125.758,123.557,125.516,297550903.3203
10.05.2019 02:00:00.000 GMT+0200,124.970,127.908,123.807,127.207,300484222.4121
13.05.2019 02:00:00.000 GMT+0200,124.118,125.527,123.027,123.323,321702636.7188
14.05.2019 02:00:00.000 GMT+0200,123.988,125.847,123.537,124.728,218147338.8672
15.05.2019 02:00:00.000 GMT+0200,123.718,126.688,123.717,126.048,212225708.0078
16.05.2019 02:00:00.000 GMT+0200,126.707,129.358,126.448,128.908,211220657.3486
17.05.2019 02:00:00.000 GMT+0200,128.098,130.438,127.897,128.048,272570861.8164
20.05.2019 02:00:00.000 GMT+0200,126.398,127.568,125.747,126.178,241833068.8477
21.05.2019 02:00:00.000 GMT+0200,127.497,127.497,126.570,126.877,182963867.1875
22.05.2019 02:00:00.000 GMT+0200,126.528,128.208,126.518,127.648,180729080.2002
23.05.2019 02:00:00.000 GMT+0200,126.217,126.278,124.717,126.168,251629943.8477
24.05.2019 02:00:00.000 GMT+0200,126.918,127.398,125.967,126.178,182537353.5156
28.05.2019 02:00:00.000 GMT+0200,126.877,127.978,126.078,126.078,209547714.2334
29.05.2019 02:00:00.000 GMT+0200,125.207,125.378,124.047,124.968,259239105.2246
30.05.2019 02:00:00.000 GMT+0200,125.230,125.732,124.757,125.688,205428314.209
31.05.2019 02:00:00.000 GMT+0200,123.988,124.587,123.307,123.587,226757843.0176
03.06.2019 02:00:00.000 GMT+0200,123.828,124.318,119.058,119.807,305069122.3145
04.06.2019 02:00:00.000 GMT+0200,121.207,123.248,120.637,123.152,243526260.376
05.06.2019 02:00:00.000 GMT+0200,124.998,125.838,124.188,125.808,206443283.0811
06.06.2019 02:00:00.000 GMT+0200,126.358,127.948,125.588,127.877,170385330.2002
07.06.2019 02:00:00.000 GMT+0200,128.857,132.228,128.337,131.368,190285293.5791
10.06.2019 02:00:00.000 GMT+0200,132.537,134.058,131.888,132.548,183891540.5273
11.06.2019 02:00:00.000 GMT+0200,133.798,134.218,131.257,132.067,190405471.8018
12.06.2019 02:00:00.000 GMT+0200,131.188,131.927,130.698,131.468,153549957.2754
13.06.2019 02:00:00.000 GMT+0200,131.937,132.658,131.547,132.297,157875518.7988
14.06.2019 02:00:00.000 GMT+0200,132.107,133.688,131.608,132.427,144836273.1934
17.06.2019 02:00:00.000 GMT+0200,132.548,133.708,132.518,132.838,117250549.3164
18.06.2019 02:00:00.000 GMT+0200,134.007,135.218,133.577,135.177,169320190.4297
19.06.2019 02:00:00.000 GMT+0200,134.988,135.908,133.808,135.597,169470016.4795
20.06.2019 02:00:00.000 GMT+0200,137.398,137.638,135.707,136.828,168283950.8057
21.06.2019 02:00:00.000 GMT+0200,136.188,137.698,136.097,136.948,151842224.1211
24.06.2019 02:00:00.000 GMT+0200,137.108,138.378,136.988,137.777,149397232.0557
25.06.2019 02:00:00.000 GMT+0200,137.188,137.548,132.697,133.418,565987304.6875
26.06.2019 02:00:00.000 GMT+0200,134.387,135.708,133.578,133.878,613761352.5391
27.06.2019 02:00:00.000 GMT+0200,134.087,134.688,133.487,134.082,487726226.8066
28.06.2019 02:00:00.000 GMT+0200,134.557,134.558,133.128,133.757,518931884.7656
01.07.2019 02:00:00.000 GMT+0200,136.117,136.678,134.940,135.577,608653747.5586
